"id","question_id","answer_order","text"
"song-homewrecker","song-summer","1","Homewrecker (sombr) — moody, unbothered, will absolutely make eye contact across the room"
"song-janice","song-summer","2","Janice STFU (Drake) — you have beef and main character energy. Petty is a personality trait"
"song-husband","song-summer","3","WHERE IS MY HUSBAND! (Raye) — screaming it in the car, no shame, husband-hunting szn"
"song-endbeginning","song-summer","4","End of the Beginning (Djo) — nostalgic, a little dreamy, secretly the most reliable friend in the group chat"
"song-midnightsun","song-summer","5","Midnight Sun (Zara Larsson) — pure pop sunshine, on repeat, no apologies"
"song-texas","song-summer","6","Choosin' Texas (Ella Langley) — a little twang, a little attitude, fully ready to two-step it out"
"movie-minions","movie-summer","1","Minions & Monsters — you peaked emotionally at a kids' movie and you're not sorry"
"movie-odyssey","movie-summer","2","The Odyssey — three hours, no popcorn, you're basically getting a degree"
"movie-spiderman","movie-summer","3","Spider-Man: Brand New Day — popcorn, cape, opinions about the multiverse. You're all in"
"movie-devilprada","movie-summer","4","The Devil Wears Prada 2 — you already have a Miranda Priestly quote ready for Monday"
"movie-obsession","movie-summer","5","Obsession — dark, intense, a little unhinged. Relatable"
"movie-sheepdetective","movie-summer","6","The Sheep Detective — low stakes, weird premise, exactly the vibe you need right now"
"bar-darling","marina-bar","1","Bar Darling — wine list memorized, seat by the window, correct as always"
"bar-monaghans","marina-bar","2","Monaghan's — loud, chaotic, someone's getting a number by 10pm. Possibly you"
"bar-balboa","marina-bar","3","Balboa Cafe — a classic for a reason. You respect the institution"
"bar-parttime","marina-bar","4","Bar Part Time — new, photogenic, you found it before it was cool"
"bar-jaxson","marina-bar","5","Jaxson — rooftop energy, golden hour photo, zero regrets"
"bar-whiterabbit","marina-bar","6","White Rabbit — a little weird, a little cool, exactly your speed"
"bar-comet","marina-bar","7","Comet Club — dive bar loyalty. You don't need the view, you need the vibe"
"rest-littlejoes","marina-restaurant","1","Little Original Joe's — these espresso martinis don't drink themselves. Go-to spot to be seen, even when the waiter's rushing you"
"rest-superduper","marina-restaurant","2","Super Duper Burgers — before Monaghan's, during Monaghan's, or after Monaghan's. Never wrong"
"rest-izzys","marina-restaurant","3","Izzy's Steakhouse — a classic, even better post-renovation"
"rest-mamanoko","marina-restaurant","4","Mamanoko — best sushi in the neighborhood, hands down. Sorry, Ace Wasabi"
"rest-causwells","marina-restaurant","5","Causwell's — smash burgers before they were cool"
"rest-delarosa","marina-restaurant","6","Delarosa — a Bee's Knees and a spicy pizzetta, please"
"tv-loveisland","tv","1","Love Island — you have strong pool opinions and zero chill about recouplings"
"tv-traitors","tv","2","Traitors — you're plotting, you're charming, you might backstab a friend for content"
"tv-sports","tv","3","Whatever sporting event is on — you don't care what's playing, you just want a beer and a couch"
"tv-summerhouse","tv","4","Summer House — rosé, drama, a group house you'd 100% ruin your friendships to be in"
"tv-euphoria","tv","5","Euphoria — dark, dramatic, you'll need a minute after every episode"
"tv-houseofdragon","tv","6","House of the Dragon — epic, a little extra, you have a seating-chart-level grasp of the family tree"
"dog-golden","dog","1","Golden Retriever — golden retriever energy, and yes, that's a personality type"
"dog-doodle","dog","2","Doodle (any variety) — expensive, adorable, definitely has its own Instagram"
"dog-bernese","dog","3","Burmese Mountain Dog — big, fluffy, chill. You'd carry a full backpack for this dog"
"dog-corgi","dog","4","Corgi — short legs, big attitude, absolute main character"
"dog-terrier","dog","5","English Terrier — scrappy, opinionated, will absolutely bite the vibe if provoked"
"dog-chihuahua","dog","6","Chihuahua — tiny, chaotic, will start a fight it can't finish. Iconic"
"maui-scuba","maui-day","1","Scuba diving — all in, no half measures. You brought your own gear"
"maui-hike","maui-day","2","Hike to a waterfall — a little sweat, a great photo, back in time for happy hour"
"maui-beach","maui-day","3","Beach day — chair, book, ocean. The assignment, completed correctly"
"maui-cabana","maui-day","4","Cabana by the pool — poolside, photo-ready, ordering a second round before the first is empty"
"maui-foodtour","maui-day","5","Food tour — you want to taste everything and have opinions about all of it"
"maui-golf","maui-day","6","Golf day — nine holes, a cart, and a beer you found off-property. Naturally"
"wed-vows","wedding-part","1","The vows — you're already crying and the ceremony hasn't started"
"wed-cocktail","wedding-part","2","Cocktail hour — peak social hour, peak outfit, peak ""you look amazing"""
"wed-cake","wedding-part","3","Cake cutting — you already have your phone up before they've picked up the knife"
"wed-dance","wedding-part","4","The dance floor — the moment you've been waiting for. God help the dance floor"
"wed-openbar","wedding-part","5","Open bar — next question. You already know the answer"
"wed-food","wedding-part","6","Reception food — you came for the vows, you stayed for the short rib"
"jam-despacito","jam","1","Despacito — you don't speak Spanish but you know every word. Every single one"
"jam-hottogo","jam","2","Hot to Go — full choreography, no shame, main character hours"
"jam-brightside","jam","3","Mr. Brightside — scientifically required. You know every scream"
"jam-lovestory","jam","4","Love Story — you'll cry-sing this one and mean every word"
"jam-cupidshuffle","jam","5","Cupid Shuffle — you're doing the steps wrong and don't care. Group chaos, activated"
"jam-nobrokeboys","jam","6","No Broke Boys — confident, a little savage, definitely has a type (solvent)"
"team-bride","team","1","Team Bride — bridal party energy. You'll defend her to the death (and the dance floor)"
"team-groom","team","2","Team Groom — groomsman loyalty. You'll grab him a beer without being asked"
