"answer_id","question_id","answer_text","drink_id","points"
"song-homewrecker","song-summer","Homewrecker (sombr) — moody, unbothered, will absolutely make eye contact across the room","tequila","2"
"song-homewrecker","song-summer","Homewrecker (sombr) — moody, unbothered, will absolutely make eye contact across the room","lava-flow","1"
"song-janice","song-summer","Janice STFU (Drake) — you have beef and main character energy. Petty is a personality trait","miami-vice","2"
"song-janice","song-summer","Janice STFU (Drake) — you have beef and main character energy. Petty is a personality trait","tequila","1"
"song-husband","song-summer","WHERE IS MY HUSBAND! (Raye) — screaming it in the car, no shame, husband-hunting szn","blue-hawaii","2"
"song-husband","song-summer","WHERE IS MY HUSBAND! (Raye) — screaming it in the car, no shame, husband-hunting szn","miami-vice","1"
"song-endbeginning","song-summer","End of the Beginning (Djo) — nostalgic, a little dreamy, secretly the most reliable friend in the group chat","mai-tai","2"
"song-endbeginning","song-summer","End of the Beginning (Djo) — nostalgic, a little dreamy, secretly the most reliable friend in the group chat","bikini-blonde","1"
"song-midnightsun","song-summer","Midnight Sun (Zara Larsson) — pure pop sunshine, on repeat, no apologies","lava-flow","2"
"song-midnightsun","song-summer","Midnight Sun (Zara Larsson) — pure pop sunshine, on repeat, no apologies","blue-hawaii","1"
"song-texas","song-summer","Choosin' Texas (Ella Langley) — a little twang, a little attitude, fully ready to two-step it out","modelo","1"
"song-texas","song-summer","Choosin' Texas (Ella Langley) — a little twang, a little attitude, fully ready to two-step it out","tequila","2"
"movie-minions","movie-summer","Minions & Monsters — you peaked emotionally at a kids' movie and you're not sorry","miami-vice","2"
"movie-minions","movie-summer","Minions & Monsters — you peaked emotionally at a kids' movie and you're not sorry","blue-hawaii","1"
"movie-odyssey","movie-summer","The Odyssey — three hours, no popcorn, you're basically getting a degree","mai-tai","3"
"movie-spiderman","movie-summer","Spider-Man: Brand New Day — popcorn, cape, opinions about the multiverse. You're all in","lava-flow","2"
"movie-spiderman","movie-summer","Spider-Man: Brand New Day — popcorn, cape, opinions about the multiverse. You're all in","blue-hawaii","1"
"movie-devilprada","movie-summer","The Devil Wears Prada 2 — you already have a Miranda Priestly quote ready for Monday","lava-flow","1"
"movie-devilprada","movie-summer","The Devil Wears Prada 2 — you already have a Miranda Priestly quote ready for Monday","mai-tai","2"
"movie-obsession","movie-summer","Obsession — dark, intense, a little unhinged. Relatable","tequila","3"
